id,limma_pvalue,mu_hat,se_hat,residual_dof
R00114,0.6377205155650627,-0.042891826759836334,0.09484433761680772,11
R00115,0.3143669609306411,0.09942484373623336,0.10691236365117543,11
R00116,0.09730498755112492,0.16635383341767332,0.10592686696283438,11
R00117,0.8154552761468412,0.018615850960483783,0.07335090731199916,11
R00118,0.3178844550111671,-0.07551468492654921,0.06253584828593237,11
R00119,0.136551491892657,-0.11028080170038448,0.05648506138148603,11
R00120,0.9130909182467164,-0.00828212916334902,0.0651509186452722,11
R00121,0.7742003352459166,0.022551346350575138,0.07088917509233057,11
R00122,0.051816263321341795,-0.15321935548755355,0.063813267044803,11
R00123,0.5327878283404528,-0.05853568554750422,0.09946968515485757,11
R00124,0.7346124281784224,0.02973827516245609,0.0888497332992506,11
R00125,0.37847302730870536,0.07634093462470751,0.085590017621157935,11
R00126,0.006341594578726663,0.2857747247389017,0.10330236782803202,11
R00127,0.7140952202704849,0.026748145306138144,0.05831628376215888,11
R00128,0.32423930371688003,0.08513034268874822,0.08459324585030854,11
R00129,0.3748617008316959,0.08970954189125413,0.11124688781740473,11
R00130,0.07204062651179573,-0.14063447181694533,0.06362641932513739,11
R00131,0.014407659476571254,0.2289704808146989,0.08770691880698961,11
R00132,0.5066530393778502,-0.07429040346960364,0.1298407426129724,11
R00133,0.7328789260397606,-0.02629164656242996,0.0674607656810944,11
R00134,0.9988387598845941,-8.91150519679649e-5,0.020583683605971893,11
R00135,0.8820768356693505,-0.009776749232536797,0.03938751630296013,11
R00136,0.4564166703566509,0.06098612005675493,0.07669613746241125,11
R00137,0.5956984410913994,0.05180333848633273,0.10633985101863974,11
R00138,0.10711740387831717,-0.1706028963461502,0.11547061620779822,11
R00139,0.7080984936024544,0.02859078777213502,0.06594714075442892,11
R00140,0.09771693641418008,-0.13737605953837703,0.07449448862816478,11
R00141,0.7453664006378279,-0.022231512501418315,0.04674083784041551,11
R00142,0.13733133379544385,-0.17549431242466773,0.13590241057012742,11
R00143,0.5088373035885619,-0.05690089797507902,0.08520703418889104,11
R00144,0.3165436414518865,0.07983663451846043,0.07137402381101463,11
R00145,0.0795406673898018,-0.12696770315009795,0.05055903487561056,11
R00146,0.2640677955957057,0.11751909602398498,0.11722617833126113,11
R00147,0.6045972494351044,-0.04669176654048191,0.09308521852074547,11
R00148,0.8315418135049286,-0.020219920259039965,0.10229721795520284,11
R00149,0.11299072822994072,0.12054735126025844,0.06044629454703031,11
R00150,0.032156667514730154,-0.22465401660365883,0.10960282117383792,11
R00151,0.57006923693606,-0.05201756655551198,0.09555463396772315,11
R00152,0.08845751782292118,-0.16962653951735787,0.10432713701245783,11
R00153,0.7444932418647195,-0.02467622080680973,0.06458486023629939,11
R00154,0.09850105584390048,0.15669866611324534,0.0965440096998037,11
R00155,0.16040392988595314,-0.13584808862797876,0.10144357637818274,11
R00156,0.7563483758828757,-0.02329383423604662,0.06316758247074791,11
R00157,0.06436746700937034,0.1578924815101709,0.07783986679914848,11
R00158,0.005825977499522357,0.22996180970265417,0.06539097138476244,11
R00159,0.02574089692819701,0.19065379963986726,0.07495154584307437,11
R00160,0.377498187017948,-0.07827526904316215,0.08935711190902369,11
R00161,0.6880857897825443,-0.033364602494002235,0.07989663700045105,11
R00162,0.5658196208831467,-0.04477885878805773,0.06907505513288957,11
R00163,0.5533730270083055,0.043033269696927896,0.05689398472102862,11
R00164,0.682529007452499,-0.036972266750376084,0.0936870010035268,11
R00165,0.2921963494255079,-0.088133926869145,0.07914614367854812,11
R00166,0.009383544140122373,-0.2802575621218668,0.10988485727273203,11
R00167,0.5724077764564308,-0.05466137189062827,0.10486907286582484,11
R00168,0.35300621690915035,0.07486623176883732,0.07350030170984785,11
R00169,0.4123028223158576,-0.07894897602944002,0.10322757390456216,11
R00170,0.17721657912200525,-0.30423818183421886,0.29309651802935754,11
R00171,0.7808830514542392,-0.029935155134498695,0.12364608905958419,11
R00172,0.09997742321604167,-0.15320114611011293,0.0935758268135743,11
R00173,0.27004344872793556,0.09316078132380515,0.08047831262755964,11
R00174,0.6737699214147903,-0.038815266932420905,0.09695093319964594,11
R00175,0.24187571832657861,-0.10566616391739884,0.0911214957624217,11
R00176,0.13909169369156,0.13748365622307412,0.0942803596899399,11
R00177,0.9131060724435679,0.009021163365020247,0.07932048851770215,11
R00178,0.5579891601369718,0.0413177012860795,0.05175024444996985,11
R00179,0.24904380586453517,-0.11399568165152506,0.10639644797983237,11
R00180,0.5410638799134067,0.0492525300985571,0.07441210219040545,11
R00181,0.11822715185161102,-0.126430958474632,0.07101638044392257,11
R00182,0.8005791359620381,-0.020475437478201807,0.07598928607308403,11
R00183,0.7443302560195826,0.022934597870933313,0.05173753358324714,11
R00184,0.5066036232205873,-0.060412962658865504,0.09418909935901658,11
R00185,0.16761963320984663,-0.1194088967990058,0.0830906525997407,11
R00186,0.7419036221519208,-0.0330395047401307,0.11132590592268735,11
R00187,0.005401689483703046,0.20620504916779023,0.04401709189480216,11
R00188,0.047829352603289015,-0.17785703547033233,0.08529163157231313,11
R00189,0.7964573366005684,-0.020609127356827645,0.07361460973309185,11
R00190,0.7078363089369295,-0.035632531773158484,0.10215627373572675,11
R00191,0.5326769762343734,0.04536756743359412,0.05707783039237453,11
R00192,0.5212002859779843,0.04485250274805971,0.050013881869372764,11
R00193,0.6291153202412771,0.04820043041966242,0.1101759525031651,11
R00194,0.6140467106366732,0.04502107500250224,0.09145749615558073,11
R00195,0.7864054266530454,0.019833893163388412,0.05887413533250948,11
R00196,0.2131724469987258,0.09860027413116267,0.06922947051038683,11
R00197,0.017302063997078364,-0.24435679803760613,0.10375568176957996,11
R00198,0.08226444844314924,0.16312557801027125,0.09425591458739183,11
R00199,0.2979444515745343,0.09198360364303071,0.08815909531429104,11
R00200,0.9573553039052388,0.003991865194465277,0.06240135088508617,11
R00201,0.38225149797725033,-0.056959280660159733,0.03507241583441771,11
R00202,0.23206928180026026,-0.0958210143751305,0.07150590299138884,11
R00203,0.19493993153522565,0.12546369979824104,0.1020714468670635,11
R00204,0.12139984498833759,0.14822776775553312,0.09870026101778466,11
R00205,0.6176659241000473,0.04607821533488097,0.09700499482384642,11
R00206,0.11022131823468294,-0.1286766252193948,0.07004680864912483,11
R00207,0.026271305441884732,-0.19067906920845523,0.0756300633153485,11
R00208,0.3327241367448992,-0.0933242711446633,0.10277650038287521,11
R00209,0.4423356609661727,-0.068165582846434,0.08978776628187708,11
R00210,0.14121097831032106,-0.12606744211380957,0.08095667095357117,11
R00211,0.8719756061355474,-0.017051984537098806,0.12076576971368376,11
R00212,0.9633485232924829,0.004208631218702487,0.09618630450313947,11
R00213,0.2823943113986046,-0.18481797611121834,0.219120575752148,11
R00214,0.7254325286564154,0.02686663664419009,0.06627866550005372,11
