protein,limma_pvalue,mu_hat,se_hat,residual_dof
K7EN45,0.17196087566876633,-0.46536723122726875,0.342756981059558,28
P00568,0.05667765670239558,-0.599299216420164,0.30816449562642784,28
P37837,0.03347934742069558,-0.4348618172129718,0.17708524804298692,28
P05387,0.35956476388476577,0.26667114506563777,0.2888709956587132,28
Q96C19,0.5113981371782044,-0.17292126475998007,0.25735926318831215,28
P54578,0.8744314889719489,-0.046853650521265236,0.2972941626544019,28
P06727,0.3048420279253939,-0.3950031042999948,0.39499477087942403,28
Q13442,0.4630006779692133,0.17247622218622827,0.2230750546822515,28
O15144,0.2500677499231012,0.19268358889502357,0.13390347355914536,28
O60701,0.18719052897233904,-0.5537711740768603,0.43146350720099647,28
Q9Y224,0.13257183322033328,0.30615475110544177,0.18039248169584648,28
Q04917,0.4891805989232424,0.12398332087138791,0.1518771742432269,28
P09104,0.002110085126066422,-1.3813432282569598,0.4348701391594837,28
P16949,0.3890511414606005,0.26058155785199927,0.3024017480504612,28
P05455,0.9513256399880217,0.014788509631406314,0.233088541521565,28
F5GYN4,0.8259494274482346,0.0451021560000473,0.1867988399157414,28
P35241,0.34492115206748064,0.2935817198192195,0.3115606112481759,28
P68871,0.1722950950098589,-0.7979664411798393,0.6111709548106348,28
P62937,0.1044211946337584,-0.34731094384801187,0.19263135332800024,28
J3QRU4,0.005107585598245848,-0.9736630913913704,0.3327659135314252,28
Q96KP4,0.4060112084710218,-0.1963514974493703,0.22431734234464273,28
O15514,0.7919445133761239,0.049476888710606584,0.16385511103335573,28
P15311,0.6981897602586656,-0.11151328753842224,0.28658885136766976,28
Q5TCI8,0.2556127469903207,-0.4057986649065732,0.3628096718148228,28
M0QXH0,0.8774867198387385,0.05766146216977619,0.38608735170384467,28
O60925,0.3018589847391091,-0.18456711763451356,0.15008901908622654,28
G5EA52,0.40054018438114714,0.23329063636466207,0.2734001735808487,28
P35754,0.5569396638469812,-0.25486581415331017,0.45210628631453625,28
P07355,0.5238376478186549,-0.23084939613419553,0.37142198570281976,28
P68104,0.625606346819729,0.12666664543289707,0.25338556634576404,28
P32119,0.3799264759102764,-0.2078915969525959,0.22470874954648284,28
P07108,0.0015557790739540512,1.1907040183901976,0.3565826935315858,28
C9J722,0.47425454213130924,-0.2043676444681996,0.2833516867824721,28
H0YEF3,0.24901778183211296,-0.268183243723944,0.21847337108094844,28
P06396,0.9289569669407609,0.018304359846028233,0.1871369689978722,28
O14745,0.08825413786718414,-0.6070995356952338,0.35692186233810314,28
P01024,0.9541806503766408,0.01958073049346659,0.3483778995285056,28
Q14019,0.8560974534115888,0.06200018169016083,0.34955318331359486,28
B1AK87,0.6884457104983978,-0.071335974764924,0.15061148592020454,28
P60900,0.2672379621628832,-0.21051532551313423,0.16452794216632707,28
P21266,0.5183489695109611,0.2727053203741979,0.43882193790353013,28
Q7Z4H3,0.914290051445085,-0.031397383034975176,0.29178007309446646,28
Q9BRP8,0.11542974247588111,-0.4531650657270609,0.28094874099680356,28
P02794,0.1065429196340455,-0.8620904113873663,0.5529669013591267,28
Q99598,0.34924593389404757,-0.25051788754616255,0.26137354261379375,28
P49588,0.0200809819752117,0.6388304478803998,0.2586296435602691,28
P08133,0.4613648370619581,0.49889567784275846,0.7188829088256697,28
P09488,0.42300257651356454,-0.5498594887146063,0.7281063736070315,28
O95777,0.852234667014899,0.032383616924211156,0.14522641716793785,28
O94760,0.16163646039925764,-0.6489511537350594,0.4788785404550896,28
P62328,0.26769774047762024,0.45152938576870005,0.41941925524816454,28
P62993,0.234148458576642,-0.2783744094466376,0.21990262740572558,28
O15212,0.6934470683685916,-0.08667178364430445,0.20524220880107846,28
P43487,0.3447437139353451,0.2110606314192354,0.20804323377340167,28
A6NN80,0.7669037640064265,0.21698806169614726,0.7812642266438988,28
P00492,0.17365941595067272,-0.3919826955013036,0.2828410538496106,28
P04792,0.028815426587184608,-0.8980717996632834,0.41085435745047555,28
P41236,0.5017099388564611,-0.16216287343132585,0.23101711408730943,28
Q9UBE0,0.589404456339816,-0.13560962436178545,0.24329432236687193,28
P31948,0.6989929430034951,0.08902008240949394,0.21805463414592688,28
Q13347,0.2529127266534782,0.18463134208178117,0.12516627290336094,28
Q9H1E3,0.7642711359667367,-0.11968685640389343,0.4141176492888832,28
O75874,0.03441529645354198,0.8163111382511392,0.38479451869545406,28
P62857,0.7954022897279653,0.06440546322536334,0.24033482416051372,28
Q8NFU3,0.8493853626786652,-0.08162942227795783,0.4487307828343319,28
K7EL68,0.15808331854111268,-0.32765549025808505,0.21639340032185123,28
P09972,0.46386146159831976,-0.28187925715097645,0.3965478290506167,28
P30047,0.8908608399750182,0.055145207692159026,0.41747195571852097,28
F2Z2Y4,0.5862884701442546,0.15904155625262187,0.2916436796281154,28
P21333,0.17172670517114558,-0.37354740685548427,0.2656345635993385,28
Q9H773,0.12123107449541902,-0.5667816227063054,0.36920335023084155,28
P49006,0.7770222284129497,0.08982867315952117,0.3211083842235452,28
O14818,0.6422999298313663,-0.09228596236214423,0.1781947461161051,28
P24844,0.30220204230696907,-0.2505327702431304,0.23138856688421303,28
P36405,0.08827567725747765,-0.3973161281988603,0.21557485957385672,28
P24534,0.95331614405223,0.015126377223041311,0.25247847746849267,28
Q9UNE7,0.1759265901904994,-0.490519890277902,0.36728209493947817,28
P78371,0.13597661711788353,0.3879452182677249,0.249401484203328,28
P31944,0.3016986380540264,0.8875384548993499,0.9131096413102215,28
P13861,0.8779833079273228,0.02456224440276575,0.1252812213221087,28
P12004,0.38036899847012984,0.2616499437309926,0.2974080960390698,28
E7EX44,0.3199565915950546,-0.4236564376952165,0.44094486092371393,28
P46940,0.5531423856550517,0.13571690254181726,0.2159291580970913,28
Q9Y696,0.1599937069068487,-0.33265497770264363,0.22203222978942494,28
B4E022,0.9648096275619452,-0.009654662427617908,0.2042579250424998,28
P61978,0.38007503720996905,-0.3594199396939553,0.423353948998747,28
P18206,0.2673388898042727,-0.23760181227385654,0.19592413184433044,28
P61981,0.6031839357881521,-0.08842706067227787,0.13952169721552488,28
P20700,0.0674380025608931,0.8561346183801773,0.4783227425557369,28
P02042,0.211451209959973,-0.6935547570944939,0.580401713139289,28
P04083,0.28107561571594836,-0.576313308307197,0.5599830715126696,28
Q9UL46,0.14268899254180029,-0.32046695355462107,0.19951468295259736,28
P61604,0.729789322020431,0.13709826018700316,0.4115450153073364,28
P62158,0.9483482046927247,0.02232528347175511,0.3527566134062774,28
Q9UNZ2,0.23774693384249407,-0.3380528576218502,0.28195255285329796,28
O43399,0.1840755324147352,0.4457763428540715,0.33729838416945934,28
P13639,0.04734492070293461,0.3542484429752678,0.1445031761640474,28
Q03013,0.009809038698034667,-1.0832733219169925,0.4135207160672838,28
Q9HCY8,8.919111220407329e-4,1.6568763290867747,0.47949677545487696,28
Q9NZT1,0.14741658324151344,1.028007026792535,0.7449033778190723,28
Q04695,0.8990629682353187,-0.06625562932703444,0.5515242851083516,28
K7ELV9,0.5347849185136511,-0.3022817240928114,0.5108755319459093,28
P07741,0.42188945150112167,0.2670138758431261,0.33699555450464863,28
P35579,0.1889672668257195,0.30949458237949645,0.22119012089941417,28
O60437,0.3897630692536356,0.4287647380069176,0.5221496470782535,28
O00151,0.5584564075485066,-0.16769365791119312,0.28494038697138474,28
P23381,0.28406944205431683,0.4547578989070572,0.43875401197588765,28
P19012,0.8505538110783193,0.16386235453166287,0.9317348598143367,28
P61088,0.7828941979629416,-0.06432768522802851,0.22218563981390402,28
E7EVY3,0.075761942908809,0.5121499132623865,0.27983990372026313,28
P15090,0.1160379219883563,-1.0650895547222974,0.7084527668045035,28
P27482,0.21657259002686138,-1.005702524491388,0.8608372041559046,28
P07237,0.30424410449546,0.33191500128660834,0.32511134953203336,28
Q9Y281,0.01720255878505744,-0.6192203149461487,0.24093358626905986,28
P02545,0.026623546504533045,0.8301257577695172,0.3708082923571012,28
P60842,0.16413381136066044,0.25046726639718997,0.15016907293715734,28
Q15149,0.3988380307156375,-0.24902467104919618,0.2939533677662571,28
P61960,0.8101262845971797,0.0691478245055045,0.28708498119151266,28
H3BTA2,0.202481554056624,0.217197306995567,0.13745637761709625,28
P12956,0.29067392087927413,0.22927278172767035,0.19962618838236404,28
P09936,0.18537001641792142,-0.6273931656856189,0.4907066024088953,28
P11413,0.001164792638411246,1.1695252710644954,0.337875946908021,28
P30041,0.3401374861486024,-0.2862887321761296,0.29917824273832966,28
P55327,0.04131850442054667,0.7319319040276762,0.3559327838086598,28
Q13185,0.9865028116275865,0.0042090081264450074,0.24099745540511758,28
P01009,0.548442699680399,-0.21082670783926702,0.3592975318295155,28
Q9C0B1,0.7168640135484634,-0.0855641483801326,0.22510486442960106,28
P22314,0.14690144737912408,0.2963606275792709,0.18166452767127322,28
P30050,0.7972415826208207,0.05339408263742733,0.1902387328571564,28
